site,SAMPLEID,X,Y,HEIGHT,stage
TREP,398,41.96,26.32,0.09,seedling
TREP,445,113.96,26.38,0.17,seedling
TREP,444,113.3,26.45,0.15,seedling
RA,R7,81.7,26.5,0.19,seedling
TREP,443,112.45,26.6,0.15,seedling
TREP,369,36.34,26.65,0.14,seedling
RREP,125,253.5,26.68,,seedling
RA,R70,73.7,26.7,0.17,seedling
RREP,106,170.95,26.8,,seedling
RREP,115,224.7,26.85,,seedling
RREP,90,33.61,26.9,,sapling
TREP,446,116.24,26.9,2.5,sapling
TREP,316,10.5,26.91,0.1,seedling
TREP,373,39.39,26.91,0.12,seedling
TREP,374,39.54,26.91,0.07,seedling
TREP,370,36.61,26.92,0.2,seedling
TREP,334,28.72,26.95,0.09,seedling
TREP,502,180.69,26.98,0.25,seedling
RA,R49,73.3,27,0.26,seedling
RA,R5,84.5,27,0.13,seedling
RA,624,137.3,27,,adult
RA,1774,1.06,27.1,,adult
RA,1774,1.1,27.1,,adult
TREP,482,152.2,27.1,11,adult
TREP,3E,184.91,27.1,0.15,seedling
LA,62a,138.97,27.12,,seedling
TREP,503,180.99,27.19,1.05,sapling
TREP,318,15.58,27.21,0.1,seedling
TREP,424,72.21,27.23,0.4,seedling
LA,64,111.88,27.24,,seedling
TREP,431,88.4,27.28,0.21,seedling
TRC,754,155.7,27.3,,adult
TREP,319,14.33,27.4,0.8,seedling
TREP,317,14.12,27.45,0.2,seedling
RREP,96,115.82,27.58,,seedling
LA,62,137.81,27.58,,sapling
LA,63,137.81,27.58,,sapling
TREP,448,120.61,27.6,0.11,seedling
TREP,396,40.17,27.61,0.08,seedling
RREP,98,134.1,27.62,,seedling
TREP,496,179.86,27.64,3,sapling
RA,R68,74.8,27.7,0.16,seedling
TREP,432,82.65,27.77,0.07,seedling
RREP,128,253.78,27.82,,seedling
RREP,110,192.52,27.85,,seedling
TREP,436,94.3,27.9,15,adult
TREP,469,138.7,27.9,0.08,seedling
TREP,470,139.15,27.9,0.14,seedling
RREP,116,234.46,27.9,,seedling
TREP,371,36.79,27.99,0.15,seedling
RA,R88,87,28,0.13,seedling
RA,R32,112.7,28,0.16,seedling
RA,O56,160,28,0.2,seedling
RREP,111,200.26,28.03,,seedling
TREP,461,132.75,28.1,0.15,seedling
TREP,350,30.79,28.13,0.1,seedling
TREP,348,31.7,28.13,1,sapling
RREP,121,248.27,28.2,,seedling
LA,19R,116.98,28.21,,sapling
TREP,349,30.65,28.27,0.08,seedling
LA,23R,92.5,28.28,,seedling
RREP,93,63.9,28.3,,seedling
RA,R74,75.7,28.3,0.16,seedling
RA,R86,79.1,28.3,0.2,seedling
TREP,501,180.71,28.32,0.1,seedling
TREP,477,142.39,28.38,0.07,seedling
RREP,117,234.98,28.38,,seedling
TREP,460,132.87,28.4,0.14,seedling
RREP,112,200.24,28.42,,seedling
LA,3659,14.2,28.5,,adult
RA,R12,65,28.5,0.14,seedling
