tag,x,y,stage,notes
O41,144.5,155,sapling,"height may be entered wrong, unclear if adult or sapling (needs remeasuring)"
O99,136,162.3,sapling,should probably verify still sapling by measuring DBH
W117,42.7,69.2,sapling,should probably verify still sapling by measuring DBH
O52,157,70,sapling,
W22,114.9,151,sapling,
W78,40.1,162.4,sapling,
O16,167,100.5,sapling,
O40,164,73,sapling,
O1,153,128,sapling,
O42,126,43.3,sapling,
W6,103.3,167,sapling,
W62,74,166,sapling,
W66,62,160,sapling,
OY97,129.1,150.62,seedling,"likley < 1 m tall because I initially wrote it in the notebook as a 'seedling' and I put a bird tag on it so it must have been small enough for that, but the CBH and Height were not recorded for some reason; individual was just outside of line we were doing exhaustive searching in. Put in plot samples initially without a label. Should only be used for allelic richness and not SGS analysis or parentage analysis. Also note that this may get double sampled when Juanita does her collections; check when mapping for 2 in same location (delete one if so)."
OY17,,,seedling,outside of plot see GPS; along trail leading to plot
OY25,136.2,66.5,seedling,line 18
OY26,117.25,77.22,seedling,"line 37, also 0.4 W, 0.05 N of V3880"
OY31,123.5,98.2,seedling,
OY33,87.7,83.1,seedling,"3 W of V4627, line 29 "
OY39,97.66,148.5,seedling,put in plot samples initially without a label. Should only be used for allelic richness and not SGS analysis or parentage analysis.
OY43,,,seedling,outside of plot see GPS; along trail leading to plot
OY54,,,seedling,outside of plot see GPS
OY63,,,seedling,outside of plot see GPS
OY82,,,seedling,outside of plot see GPS
OY9,,,seedling,outside of plot see GPS
OY94,,,seedling,outside of plot see GPS
T4,133.15,58.25,seedling,
W7,104.5,167.2,seedling,
W64,69,153.5,seedling,
W81,34.5,149.5,seedling,
O93,152,144.5,seedling,
W44,93.3,168.3,seedling,
W108,35.2,80.7,seedling,
F109,25.8,56.8,seedling,
W91,41.5,132,seedling,"no ring tag, only flagging"
O11,153.6,29,seedling,
W51,67,170,seedling,
W85,48,141,seedling,
W89,42.7,126.5,seedling,
F97,37.2,113.5,seedling,"no ring tag, only flagging"
W25,81.5,153.7,seedling,
W2,105,161.4,seedling,
W177,30.7,105.3,seedling,
W122,45,33,seedling,
W26,83.8,168.4,seedling,
W80,32.9,148,seedling,
W82,35.2,149,seedling,
W93,38,122.3,seedling,
W94,38,122.1,seedling,
W96,37,113,seedling,costado del árbol RF247 (also RF4252) 
W103,48,85.5,seedling,
W104,42.6,84.5,seedling,
F115,33.5,74.4,seedling,
W110,26.3,60.5,seedling,
W28,76.2,174.8,seedling,
W38,92.9,154.4,seedling,
W87,39.4,133.7,seedling,
W116,39,73.4,seedling,
O8,153,157,seedling,
W5,103.9,164.7,seedling,
W125,50,32,seedling,
R89,65.2,48,seedling,
O46,170,149,seedling,
W52,69.4,170.1,seedling,
W54,68.1,168.8,seedling,
W58,60,164.4,seedling,collected Jan 29
W88,38,128.4,seedling,
W95,40,123.4,seedling,collected Feb 4
W114,33.6,72.8,seedling,
O34,100.9,157.8,seedling, 
F99,42.7,101.3,seedling,
F120,32.6,29.3,seedling,"no ring tag, only flagging"
W84,48,142,seedling,
F118,41.4,67,seedling,
F119,43.3,62.4,seedling,
W124,33.7,46.5,seedling,
O78,124,50,seedling,
O82,124,50,seedling,collected Jan 29
R29,62.8,47.5,seedling,
W83,41.3,148.2,seedling,
W98,40,135.5,seedling,"no ring tag, only flagging"
F100,40.4,101.7,seedling,"no ring tag, only flagging"
W105,41.6,77.1,seedling,
W106,39,77.1,seedling,
W111,30.2,67,seedling,
W112,26.2,64.5,seedling,
W10,110.3,174,seedling, 
W3,104.6,162.3,seedling,
W32,87,160.4,seedling,
R26,74,42.1,seedling,
O20,161,119,seedling,
W65,62.5,160,seedling,
W176,29.7,105,seedling,
R48,77.5,25.4,seedling,
O54,170,98,seedling,
W45,55,155,seedling,
R49,73.3,27,seedling,
W55,62.4,165,seedling,
W126,27.2,50.26,seedling,
W123,34,49.6,seedling,
O88,151.5,140.4,seedling,
W36,93.9,151.6,seedling,
W40,97,162.3,seedling,
W41,98,162.5,seedling,
W102,42.6,92.77,seedling,
O17,153,100.5,seedling,
O83,172,109,seedling,
W49,60.3,167.6,seedling,
W121,27,36.4,seedling,
O98,126.5,39.3,seedling,
O92,161,32,seedling,
O94,174.5,48,seedling,
O87,151.5,82,seedling,
W56,62.5,165.1,seedling,
W90,45.5,130,seedling,
R47,100.1,40.5,seedling,
W39,99,159.8,seedling,
W42,98,165.6,seedling,
W50,63.6,168,seedling,
W60,62,162.6,seedling,
W79,44.3,165.5,seedling,
F98,35,111.2,seedling,
R34,74,34.4,seedling,
R52,75,25.4,seedling,
R86,79.1,28.3,seedling,
O55,119,44,seedling,
O56,160,28,seedling,
O89,159.7,28.5,seedling,
O25,174,98.5,seedling,
O38,174,95,seedling,
O39,173,133,seedling,
O100,162,156.5,seedling,
O22,137,150.9,seedling, 
O6,102.4,155.6,seedling, 
W13,122.8,160.4,seedling,
W27,83,168.2,seedling,
W29,76.5,174.7,seedling,
W31,80.7,174.6,seedling,
W48,52.3,154,seedling,
W57,62.1,164.8,seedling,
W72,35.6,168,seedling,
W74,33,162.3,seedling,"no ring tag, only flagging"
W99,37.6,173,seedling,
W101,35.4,91,seedling,
W107,35.5,77.4,seedling,
W113,34.3,68.6,seedling,
R15,73.8,48,seedling,
R44,74.3,26,seedling,
R73,56.3,45,seedling,
R61,75.5,29.1,seedling,
R7,81.7,26.5,seedling,
R87,94,44,seedling,
O23,157.5,44,seedling,
O27,153,37.5,seedling,
O96,174,120.5,seedling,possibly duplicate labeling look in SP 28
W19,123.7,154,seedling,
W75,34,158.6,seedling,"no ring tag, only flagging"
W77,40,162,seedling,
R31,74,25.3,seedling,
O36,171.6,135,seedling,
O5,161.5,140,seedling,
O64,162.4,157,seedling,
W11,115.6,172.4,seedling,
R22,51.2,49,seedling,
R70,73.7,26.7,seedling,
R67,84.7,25.4,seedling,
O76,153,80,seedling,
O86,174,146,seedling,
O62,154.2,157,seedling,
W53,68,168.5,seedling,
W61,67.6,165.8,seedling,
W127,53,134,seedling,"missed by Therese, collected Feb 4"
R16,66.3,45,seedling,
R68,74.8,27.7,seedling,
R83,72.1,44,seedling,
R35,85,34,seedling,
R50,78.8,25.2,seedling,
R74,75.7,28.3,seedling,
O58,110,43,seedling,
O82,124,38,seedling,
R32,112.7,28,seedling,
O32,154.5,31,seedling,
O14,152.5,80,seedling,
O15,174.7,114,seedling,
W8,105,169,seedling,
W37,97.6,152,seedling,
W43,94.3,168,seedling,
W63,69.5,154,seedling,
W67,32.8,162.6,seedling,
R59,73.9,41.3,seedling,
R43,79,25.2,seedling,
R6,87,36.5,seedling,
R66,110,43,seedling,
O61,153,59,seedling,
O2,163,96,seedling,
O49,169,148.5,seedling,
O67,174,146,seedling,
O97b,171,141,seedling,TAG 97b: the 'b' is to indicate a duplicate 97 orange tag in SP28 that was tagged by Therese in December 2016
O28,154.6,173,seedling,
O33,147,168,seedling, 
O90,144,162.8,seedling,collected Feb 3
W15,124.5,151,seedling,
W16,124,155.4,seedling,
W33,87,160.3,seedling,
W34,90.6,150.3,seedling,
R12,65,28.5,seedling,
R79,84,33,seedling,
R81,92,25.67,seedling,
O3,123.7,49,seedling,
O9,142.5,32.6,seedling,
O57,150.1,47,seedling,
O75,164,55.4,seedling,
O7,151.3,140,seedling,
O74,171,138,seedling,
O35,125.6,161.7,seedling,  
O91,145,164.3,seedling,
W18,123.5,156,seedling,
W20,124.7,150.1,seedling,
R19,74,28.7,seedling,
R38,71,31,seedling,
R71,67,48,seedling,
R17,75.8,25.3,seedling,
R5,84.5,27,seedling,
R88,87,28,seedling,
O60,101,34,seedling,
R40,100.1,41.5,seedling,collected Jan 29
R64,107.5,31,seedling,
O24,174,96.7,seedling,
O79,158.5,81,seedling,
O21,155,167,seedling,
O53,165,160,seedling,
O77,166,165,seedling,
O10,133,173.8,seedling, 
O59,146,157.4,seedling, 
W30,80.8,174.9,seedling,
W70,68.5,159,seedling,
R42,56.1,35.2,seedling,
O65,164.4,76,seedling,
O31,173.5,137,seedling,
O84,171.6,134.5,seedling,
O51,157,170,seedling,
O18,125.3,150,seedling, 
O19,147.7,170,seedling, 
R41,56.4,45,seedling,
O69,150.3,147.5,seedling,
O30,153,152.4,seedling,
W14,124,155,seedling,
W23,114.7,154.6,seedling,
W59,64.4,160.4,seedling,
R92,74.4,35,seedling,
O81,143.2,44.4,seedling,
O71,159,50.5,seedling,
O85,158.5,80,seedling,
O63,157,169.7,seedling,collected Feb 3
O95,159,150.8,seedling,
O12,134.2,167.7,seedling, 
O4,133.2,170,seedling, 
O45,148.5,167.1,seedling, 
O68,143,152,seedling,
O13,100.15,156.5,seedling, 
W12,112,162.3,seedling,
W69,57.3,154,seedling,
W68,30.1,169,seedling,
W73,36,167.6,seedling,"no ring tag, only flagging"
R13,92.4,32.8,seedling,
O73,162.5,74,seedling,
O43,151,140.4,seedling,
W1,104.1,157.9,seedling, 
W35,93.5,151,seedling,
R21,92.3,32.3,seedling,
O50,156,81.5,seedling,
O48,136.7,164,seedling, 
W46,55.1,154.6,seedling,
W47,55.3,153.7,seedling,
W71,30,173,seedling,
R36,73.1,43,seedling,
O26,110,44,seedling,
O44,102,155.9,seedling, 
W17,121.3,155,seedling,
W4,103.7,164.5,seedling,
R23,92,33,seedling,
O72,166,37,seedling,
O29,174.7,148,seedling,
O70,173.5,131.5,seedling,
W9,105,171,seedling,
W76,34.1,158.8,seedling,"no ring tag, only flagging"
O47,151,65,seedling,
O80,157.5,140,seedling,
